"S..No.","Feature","Level","Frequency","Proportion....","First.Mode"
1,"Age Group","18 to 34 years",15277,15.01,""
1,"Age Group","35 to 49 years",16825,16.54,""
1,"Age Group","50 to 64 years",21684,21.31,""
1,"Age Group","65 and older",47967,47.14,"65 and older"
2,"Sex at Birth","Female",55795,54.83,"Female"
2,"Sex at Birth","Male",45958,45.17,""
3,"Marital Status","Married/Common-law",56236,55.27,"Married/Common-law"
3,"Marital Status","Widowed/Divorced/Separated/Single, never married",45517,44.73,""
4,"Considered suicide - lifetime","No",86422,84.93,"No"
4,"Considered suicide - lifetime","Unknown",3686,3.62,""
4,"Considered suicide - lifetime","Yes",11645,11.44,""
5,"Considered suicide - last 12 months","No",95801,94.15,"No"
5,"Considered suicide - last 12 months","Unknown",3704,3.64,""
5,"Considered suicide - last 12 months","Yes",2248,2.21,""
6,"Smoking status","Current daily smoker",10226,10.05,""
6,"Smoking status","Current occasional smoker",2035,2,""
6,"Smoking status","Former daily smoker (non-smoker now)",31042,30.51,""
6,"Smoking status","Former occasional smoker (non-smoker now)",3393,3.33,""
6,"Smoking status","Non-smoker (abstainer or experimental)",51258,50.37,"Non-smoker (abstainer or experimental)"
6,"Smoking status","Unknown",3799,3.73,""
7,"Severity of Canabis Dependence","Mild dependence",3226,3.17,""
7,"Severity of Canabis Dependence","Moderate dependence",451,0.44,""
7,"Severity of Canabis Dependence","No cannabis use",80483,79.1,"No cannabis use"
7,"Severity of Canabis Dependence","No dependence",13693,13.46,""
7,"Severity of Canabis Dependence","Severe dependence",32,0.03,""
7,"Severity of Canabis Dependence","Unknown",3868,3.8,""
8,"Used cannabis - 12 months","No",79906,78.53,"No"
8,"Used cannabis - 12 months","Unknown",6706,6.59,""
8,"Used cannabis - 12 months","Yes",15141,14.88,""
9,"Usual place for immediate care for minor problem","No",9178,9.02,""
9,"Usual place for immediate care for minor problem","Unknown",315,0.31,""
9,"Usual place for immediate care for minor problem","Yes",92260,90.67,"Yes"
10,"Total Household Income - All Sources","$20,000 to $39,999",17884,17.58,""
10,"Total Household Income - All Sources","$40,000 to $59,999",17044,16.75,""
10,"Total Household Income - All Sources","$60,000 to $79,999",14081,13.84,""
10,"Total Household Income - All Sources","$80,000 or more",44849,44.08,"$80,000 or more"
10,"Total Household Income - All Sources","No income or less than $20,000",5841,5.74,""
10,"Total Household Income - All Sources","Unknown",2054,2.02,""
11,"BMI classification for adults aged 18 and over (adjusted) - international","Overweight / Obese - Class I, II, III",63977,62.87,"Overweight / Obese - Class I, II, III"
11,"BMI classification for adults aged 18 and over (adjusted) - international","Underweight/ Normal weight",30094,29.58,""
11,"BMI classification for adults aged 18 and over (adjusted) - international","Unknown",7682,7.55,""
12,"Pain health status","Has usual pain or discomfort",30480,29.95,""
12,"Pain health status","No usual pain or discomfort",70950,69.73,"No usual pain or discomfort"
12,"Pain health status","Unknown",323,0.32,""
13,"Perceived health ","Excellent",18863,18.54,""
13,"Perceived health ","Fair",11532,11.33,""
13,"Perceived health ","Good",30248,29.73,""
13,"Perceived health ","Poor",4383,4.31,""
13,"Perceived health ","Unknown",162,0.16,""
13,"Perceived health ","Very good",36565,35.94,"Very good"
14,"Perceived mental health ","Excellent",28170,27.68,""
14,"Perceived mental health ","Fair",6612,6.5,""
14,"Perceived mental health ","Good",25177,24.74,""
