feature,coefficient,abs_coefficient,odds_ratio
age_group_X65.and.older,5.646647689723896e-37,5.646647689723896e-37,1
age_group_X35.to.49.years,-5.004337406084793e-37,5.004337406084793e-37,1
high_blood_cholesterol_lipids_took_medication_1_month_Yes,4.273805023203141e-37,4.273805023203141e-37,1
high_blood_pressure_took_medication_1_month_Yes,4.1880472319085856e-37,4.1880472319085856e-37,1
smoking_status_Current.occasional.smoker,-3.241235515956233e-37,3.241235515956233e-37,1
age_group_X50.to.64.years,-3.2034717449868142e-37,3.2034717449868142e-37,1
has_a_high_blood_pressure_Yes,3.1791539422225646e-37,3.1791539422225646e-37,1
severity_of_canabis_dependence_Takes.cannabis...dependent.on.it,-3.1754422937481537e-37,3.1754422937481537e-37,1
perceived_mental_health_Unknown,3.1203035930678083e-37,3.1203035930678083e-37,1
has_high_blood_cholesterol_lipids_Yes,3.1122664960202758e-37,3.1122664960202758e-37,1
perceived_health_Poor,3.074642814890524e-37,3.074642814890524e-37,1
has_diabetes_Yes,3.0700140546953643e-37,3.0700140546953643e-37,1
satisfaction_with_life_in_general_Unknown,2.975354920450063e-37,2.975354920450063e-37,1
considered_suicide_lifetime_Unknown,2.962145992691116e-37,2.962145992691116e-37,1
considered_suicide_last_12_months_Unknown,2.9618187760718688e-37,2.9618187760718688e-37,1
had_a_seasonal_flu_shot_excluding_h1n1_lifetime_Unknown,2.955744665731017e-37,2.955744665731017e-37,1
used_cannabis_12_months_Yes,-2.9357792906085435e-37,2.9357792906085435e-37,1
severity_of_canabis_dependence_Unknown,2.911939552372489e-37,2.911939552372489e-37,1
seasonal_flu_shot_last_time_Unknown,2.8517352251527447e-37,2.8517352251527447e-37,1
perceived_health_Fair,2.7093049361912985e-37,2.7093049361912985e-37,1
musculoskeletal_condition_arthritis_fibromyalgia_osteoporosis_Yes,2.6834351886460207e-37,2.6834351886460207e-37,1
severity_of_canabis_dependence_Takes.cannabis.but.no.dependence,-2.5674528886309635e-37,2.5674528886309635e-37,1
drank_5_4_drinks_one_occasion_frequency_12_months_Once.a.month,-2.3156460179991218e-37,2.3156460179991218e-37,1
drank_5_4_drinks_one_occasion_frequency_12_months_Less.than.once.a.month,-2.256514787678083e-37,2.256514787678083e-37,1
seasonal_flu_shot_last_time_Valid.skip,-2.1840990033160493e-37,2.1840990033160493e-37,1
drank_5_4_drinks_one_occasion_frequency_12_months_Once.a.week,-2.1039122354518973e-37,2.1039122354518973e-37,1
has_sleep_apnea_Yes,2.0913643099670125e-37,2.0913643099670125e-37,1
has_respiratory_chronic_condition_asthma_or_copd_Yes,2.0459884026280087e-37,2.0459884026280087e-37,1
smoking_status_Former.daily.smoker..non.smoker.now.,1.9341130335002086e-37,1.9341130335002086e-37,1
