feature,coefficient,abs_coefficient,odds_ratio
high_blood_pressure_took_medication_1_month_Yes,4.633742542606263e-37,4.633742542606263e-37,1
high_blood_cholesterol_lipids_took_medication_1_month_Yes,4.5238099623742845e-37,4.5238099623742845e-37,1
age_group_X65.and.older,4.133894534989905e-37,4.133894534989905e-37,1
age_group_X35.to.49.years,-4.052422456963473e-37,4.052422456963473e-37,1
has_a_high_blood_pressure_Yes,3.859691251001392e-37,3.859691251001392e-37,1
has_high_blood_cholesterol_lipids_Yes,3.6200584955536074e-37,3.6200584955536074e-37,1
smoking_status_Current.occasional.smoker,-3.4442687041792436e-37,3.4442687041792436e-37,1
severity_of_canabis_dependence_Takes.cannabis...dependent.on.it,-2.8455493055818e-37,2.8455493055818e-37,1
used_cannabis_12_months_Yes,-2.6728598519339916e-37,2.6728598519339916e-37,1
bmi_classification_for_adults_aged_18_and_over_adjusted_international_Underweight..Normal.weight,-2.6726020673590392e-37,2.6726020673590392e-37,1
perceived_health_Poor,2.525165168984177e-37,2.525165168984177e-37,1
has_sleep_apnea_Yes,2.405016746632594e-37,2.405016746632594e-37,1
perceived_health_Fair,2.2529641872325186e-37,2.2529641872325186e-37,1
musculoskeletal_condition_arthritis_fibromyalgia_osteoporosis_Yes,2.2090974200227875e-37,2.2090974200227875e-37,1
drank_5_4_drinks_one_occasion_frequency_12_months_Once.a.month,-2.168794465938381e-37,2.168794465938381e-37,1
drank_5_4_drinks_one_occasion_frequency_12_months_Once.a.week,-2.0745932675936536e-37,2.0745932675936536e-37,1
seasonal_flu_shot_last_time_Valid.skip,-2.039336758660205e-37,2.039336758660205e-37,1
severity_of_canabis_dependence_Takes.cannabis.but.no.dependence,-2.0186474444102045e-37,2.0186474444102045e-37,1
seasonal_flu_shot_last_time_Less.than.1.year.ago,2.011145209261154e-37,2.011145209261154e-37,1
drank_5_4_drinks_one_occasion_frequency_12_months_Less.than.once.a.month,-2.0042025306583345e-37,2.0042025306583345e-37,1
type_of_drinker_Regular.drinker,-1.947775635648665e-37,1.947775635648665e-37,1
drank_5_4_drinks_one_occasion_frequency_12_months_Valid.skip,1.8998934284915565e-37,1.8998934284915565e-37,1
satisfaction_with_life_in_general_Unknown,1.8473642329529838e-37,1.8473642329529838e-37,1
perceived_mental_health_Unknown,1.8251898581292386e-37,1.8251898581292386e-37,1
considered_suicide_lifetime_Unknown,1.8089805704185278e-37,1.8089805704185278e-37,1
considered_suicide_last_12_months_Unknown,1.8002647831608376e-37,1.8002647831608376e-37,1
severity_of_canabis_dependence_Unknown,1.7277895087935162e-37,1.7277895087935162e-37,1
had_a_seasonal_flu_shot_excluding_h1n1_lifetime_Unknown,1.679519155723018e-37,1.679519155723018e-37,1
smoking_status_Former.daily.smoker..non.smoker.now.,1.6440350350988048e-37,1.6440350350988048e-37,1
seasonal_flu_shot_last_time_Unknown,1.6099455906980761e-37,1.6099455906980761e-37,1
drank_5_4_drinks_one_occasion_frequency_12_months_More.than.once.a.week,-1.5573524903550188e-37,1.5573524903550188e-37,1
total_household_income_all_sources_X.80.000.or.more,-1.5388773577211656e-37,1.5388773577211656e-37,1
total_household_income_all_sources_Unknown,-1.4986556122328233e-37,1.4986556122328233e-37,1
seasonal_flu_shot_last_time_X2.years.ago.or.more,-1.497379337535373e-37,1.497379337535373e-37,1
had_a_seasonal_flu_shot_excluding_h1n1_lifetime_Yes,1.4370537789759964e-37,1.4370537789759964e-37,1
perceived_health_Very.good,-1.420032968705919e-37,1.420032968705919e-37,1
